URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_01_00_50_48_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-01 00:50:48
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.46118	0.46328	0.00040	0.08731	0.46182	0.03	0.46174	0.07	1.412	0.000	180345197	26.96
Laravel 12.11.0 demo app	50	100	100	PHP - master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.46020	0.46653	0.00066	0.14238	0.46098	-0.15	0.46088	-0.11	6.230	0.000	180343208	26.93
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.43856	0.44297	0.00067	0.15262	0.43933	-4.84	0.43916	-4.82	3.400	0.000	152487615	26.94
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.74879	0.76115	0.00168	0.22404	0.75058	0.00	0.75018	0.00	4.881	0.999	296678503	27.55
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.77222	0.79147	0.00371	0.47606	0.77852	3.72	0.78009	3.99	0.418	0.000	295194104	26.99
Symfony 2.8.0 demo app	50	100	100	PHP - master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.77117	0.78968	0.00153	0.19573	0.77924	3.82	0.77908	3.85	1.947	0.000	295205310	26.97
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.75106	1.00703	0.08920	10.98621	0.81189	8.17	0.75342	0.43	1.351	0.000	277789494	26.98
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65949	0.67447	0.00189	0.28560	0.66104	0.00	0.66062	0.00	4.528	0.999	1409590545	27.57
Wordpress 6.9 main page	20	100	20	PHP - previous master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.66470	0.66722	0.00053	0.07894	0.66589	0.73	0.66584	0.79	0.301	0.000	1415718480	27.00
Wordpress 6.9 main page	20	100	20	PHP - master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.66183	0.66570	0.00064	0.09708	0.66309	0.31	0.66301	0.36	1.144	0.000	1415706013	26.99
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.59167	0.59354	0.00042	0.07169	0.59237	-10.39	0.59234	-10.34	0.529	0.000	1155094096	27.00
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42519	0.43092	0.00119	0.27793	0.42760	0.00	0.42749	0.00	0.350	0.999	2020733479	7.97
bench.php	10	100	2	PHP - previous master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.43096	0.43996	0.00172	0.39591	0.43567	1.89	0.43551	1.88	0.257	0.000	2020687121	7.97
bench.php	10	100	2	PHP - master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.43302	0.43866	0.00126	0.29000	0.43564	1.88	0.43549	1.87	0.080	0.000	2020687236	7.97
bench.php	10	100	2	PHP - master (JIT)	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.14160	0.14618	0.00086	0.59582	0.14364	-66.41	0.14361	-66.41	0.256	0.000	539477057	7.97

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_15_00_50_21_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-15 00:50:21
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46055	0.46480	0.00084	0.18278	0.46134	0.00	0.46113	0.00	2.759	0.999	185279511	27.50
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.46022	0.46668	0.00082	0.17824	0.46093	-0.09	0.46075	-0.08	4.699	0.000	180329548	26.93
Laravel 12.11.0 demo app	50	100	100	PHP - master	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.46111	0.46303	0.00037	0.07947	0.46162	0.06	0.46154	0.09	1.473	0.000	180327838	26.94
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.43875	0.44121	0.00045	0.10286	0.43931	-4.78	0.43922	-4.75	2.199	0.000	152475338	26.95
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.77808	0.78645	0.00172	0.22018	0.78223	0.00	0.78271	0.00	-0.344	0.999	296625145	27.55
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.77274	0.79004	0.00264	0.33998	0.77732	-0.63	0.77829	-0.56	0.607	0.000	295198485	26.97
Symfony 2.8.0 demo app	50	100	100	PHP - master	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.77480	0.79364	0.00222	0.28456	0.78083	-0.18	0.78082	-0.24	3.300	0.000	295204759	26.98
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.75154	0.98135	0.08041	9.90384	0.81196	3.80	0.75405	-3.66	0.714	0.001	277787102	26.99
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65952	0.66673	0.00121	0.18261	0.66073	0.00	0.66050	0.00	4.022	0.999	1409593191	27.57
Wordpress 6.9 main page	20	100	20	PHP - previous master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.66177	0.66473	0.00055	0.08250	0.66285	0.32	0.66280	0.35	0.855	0.000	1415753838	26.99
Wordpress 6.9 main page	20	100	20	PHP - master	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.66284	0.68198	0.00190	0.28551	0.66383	0.47	0.66365	0.48	9.051	0.000	1415752276	27.00
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.59344	0.59608	0.00046	0.07663	0.59446	-10.03	0.59440	-10.01	0.781	0.000	1155145318	27.01
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42552	0.43068	0.00121	0.28294	0.42770	0.00	0.42759	0.00	0.540	0.999	2020733513	7.97
bench.php	10	100	2	PHP - previous master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.43325	0.44040	0.00130	0.29866	0.43581	1.90	0.43582	1.93	0.494	0.000	2020687269	7.97
bench.php	10	100	2	PHP - master	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.43157	0.43884	0.00157	0.36177	0.43481	1.66	0.43477	1.68	0.427	0.000	2020687376	7.97
bench.php	10	100	2	PHP - master (JIT)	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.14109	0.14601	0.00095	0.66135	0.14351	-66.45	0.14359	-66.42	-0.030	0.000	539477072	7.97

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_16_00_50_25_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-16 00:50:25
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46058	0.47090	0.00128	0.27655	0.46149	0.00	0.46121	0.00	5.215	0.999	0	27.50
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.46063	0.46689	0.00070	0.15245	0.46153	0.01	0.46139	0.04	5.131	0.000	0	26.91
Laravel 12.11.0 demo app	50	100	100	PHP - master	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.45664	0.46370	0.00097	0.21124	0.45734	-0.90	0.45713	-0.88	5.549	0.000	0	26.91
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.43666	0.43904	0.00037	0.08454	0.43733	-5.24	0.43728	-5.19	1.585	0.000	0	26.92
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.77629	0.79244	0.00212	0.27176	0.78124	0.00	0.78116	0.00	2.165	0.999	0	27.51
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.77254	0.78197	0.00196	0.25211	0.77834	-0.37	0.77903	-0.27	-0.679	0.000	0	26.93
Symfony 2.8.0 demo app	50	100	100	PHP - master	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.77739	0.79210	0.00140	0.17962	0.78020	-0.13	0.78013	-0.13	6.168	0.000	0	26.93
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.75117	0.98287	0.08652	10.52741	0.82187	5.20	0.77045	-1.37	0.675	0.001	0	26.94
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65939	0.68069	0.00295	0.44583	0.66127	0.00	0.66042	0.00	4.386	0.999	0	27.53
Wordpress 6.9 main page	20	100	20	PHP - previous master	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.66320	0.68340	0.00198	0.29833	0.66425	0.45	0.66398	0.54	9.303	0.000	0	26.95
Wordpress 6.9 main page	20	100	20	PHP - master	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.66112	0.68148	0.00324	0.48813	0.66283	0.24	0.66223	0.27	5.382	0.000	0	26.95
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.59262	0.59465	0.00041	0.06951	0.59342	-10.26	0.59333	-10.16	0.645	0.000	0	26.96
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42509	0.43092	0.00125	0.29279	0.42747	0.00	0.42718	0.00	0.464	0.999	0	7.95
bench.php	10	100	2	PHP - previous master	c1d2875a82	https://github.com/php/php-src/commit/c1d2875a82	0.43192	0.43901	0.00135	0.30973	0.43498	1.76	0.43498	1.82	0.113	0.000	0	7.95
bench.php	10	100	2	PHP - master	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.43239	0.44159	0.00180	0.41178	0.43607	2.01	0.43593	2.05	0.467	0.000	0	7.95
bench.php	10	100	2	PHP - master (JIT)	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.14092	0.14604	0.00096	0.67084	0.14346	-66.44	0.14351	-66.41	-0.189	0.000	0	7.95

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_17_00_50_24_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-17 00:50:24
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46136	0.46479	0.00072	0.15493	0.46209	0.00	0.46190	0.00	2.890	0.999	0	27.64
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.45727	0.45948	0.00044	0.09676	0.45788	-0.91	0.45775	-0.90	1.424	0.000	0	27.03
Laravel 12.11.0 demo app	50	100	100	PHP - master	084e409694	https://github.com/php/php-src/commit/084e409694	0.45738	0.46432	0.00090	0.19576	0.45800	-0.89	0.45776	-0.90	5.166	0.000	0	27.03
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	084e409694	https://github.com/php/php-src/commit/084e409694	0.43878	0.44050	0.00035	0.08065	0.43931	-4.93	0.43922	-4.91	1.176	0.000	0	27.03
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.77399	0.79386	0.00278	0.35529	0.78190	0.00	0.78171	0.00	1.763	0.999	0	27.67
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.77247	0.78333	0.00233	0.29918	0.77939	-0.32	0.78049	-0.16	-0.871	0.000	0	27.05
Symfony 2.8.0 demo app	50	100	100	PHP - master	084e409694	https://github.com/php/php-src/commit/084e409694	0.77761	0.79116	0.00153	0.19635	0.78066	-0.16	0.78058	-0.14	3.176	0.000	0	27.05
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	084e409694	https://github.com/php/php-src/commit/084e409694	0.75075	0.99488	0.08623	10.51392	0.82018	4.90	0.75334	-3.63	0.647	0.031	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.66083	0.68145	0.00237	0.35861	0.66222	0.00	0.66165	0.00	6.000	0.999	0	27.67
Wordpress 6.9 main page	20	100	20	PHP - previous master	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.66301	0.68357	0.00305	0.45904	0.66437	0.33	0.66382	0.33	5.646	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master	084e409694	https://github.com/php/php-src/commit/084e409694	0.66148	0.68239	0.00206	0.31120	0.66257	0.05	0.66234	0.10	9.154	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	084e409694	https://github.com/php/php-src/commit/084e409694	0.59317	0.59545	0.00043	0.07213	0.59419	-10.27	0.59416	-10.20	0.620	0.000	0	27.05
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42555	0.43125	0.00123	0.28640	0.42794	0.00	0.42789	0.00	0.350	0.999	0	7.95
bench.php	10	100	2	PHP - previous master	9b719cd4a3	https://github.com/php/php-src/commit/9b719cd4a3	0.43097	0.44013	0.00180	0.41265	0.43600	1.88	0.43596	1.88	-0.198	0.000	0	7.95
bench.php	10	100	2	PHP - master	084e409694	https://github.com/php/php-src/commit/084e409694	0.44045	0.44900	0.00162	0.36580	0.44402	3.76	0.44381	3.72	0.341	0.000	0	7.95
bench.php	10	100	2	PHP - master (JIT)	084e409694	https://github.com/php/php-src/commit/084e409694	0.13670	0.14380	0.00132	0.93944	0.14076	-67.11	0.14073	-67.11	0.129	0.000	0	7.95

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_18_00_50_43_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-18 00:50:43
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46134	0.46259	0.00027	0.05851	0.46197	0.00	0.46198	0.00	0.018	0.999	0	27.64
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	084e409694	https://github.com/php/php-src/commit/084e409694	0.45785	0.46109	0.00042	0.09190	0.45871	-0.71	0.45865	-0.72	2.166	0.000	0	27.03
Laravel 12.11.0 demo app	50	100	100	PHP - master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.45784	0.45940	0.00028	0.06200	0.45848	-0.76	0.45843	-0.77	0.567	0.000	0	27.03
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.43948	0.44283	0.00042	0.09555	0.44009	-4.74	0.44003	-4.75	3.258	0.000	0	27.03
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.76068	0.78085	0.00197	0.25616	0.76935	0.00	0.76935	0.00	0.622	0.999	0	27.67
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	084e409694	https://github.com/php/php-src/commit/084e409694	0.76061	0.78017	0.00331	0.43105	0.76767	-0.22	0.76912	-0.03	-0.351	0.001	0	27.05
Symfony 2.8.0 demo app	50	100	100	PHP - master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.76451	0.78123	0.00196	0.25463	0.76904	-0.04	0.76886	-0.06	4.088	0.000	0	27.05
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.73906	0.99384	0.09281	11.23046	0.82644	7.42	0.79662	3.55	0.729	0.007	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65938	0.68068	0.00287	0.43411	0.66082	0.00	0.66039	0.00	6.596	0.999	0	27.67
Wordpress 6.9 main page	20	100	20	PHP - previous master	084e409694	https://github.com/php/php-src/commit/084e409694	0.66277	0.68352	0.00230	0.34701	0.66416	0.51	0.66368	0.50	6.595	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.66219	0.68283	0.00213	0.32151	0.66339	0.39	0.66308	0.41	7.889	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.59380	0.59696	0.00063	0.10513	0.59478	-9.99	0.59463	-9.96	1.653	0.000	0	27.05
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42594	0.43265	0.00127	0.29708	0.42839	0.00	0.42857	0.00	0.499	0.999	0	7.94
bench.php	10	100	2	PHP - previous master	084e409694	https://github.com/php/php-src/commit/084e409694	0.44074	0.44826	0.00147	0.33167	0.44416	3.68	0.44409	3.62	0.164	0.000	0	7.95
bench.php	10	100	2	PHP - master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.44087	0.44841	0.00173	0.38904	0.44426	3.71	0.44415	3.63	0.354	0.000	0	7.95
bench.php	10	100	2	PHP - master (JIT)	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.13802	0.14393	0.00128	0.90932	0.14086	-67.12	0.14092	-67.12	0.022	0.000	0	7.95

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_19_00_50_28_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-19 00:50:28
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46114	0.46962	0.00112	0.24187	0.46194	0.00	0.46178	0.00	6.416	0.999	0	27.63
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.45805	0.46163	0.00074	0.16179	0.45875	-0.69	0.45852	-0.71	2.098	0.000	0	27.02
Laravel 12.11.0 demo app	50	100	100	PHP - master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.45810	0.46293	0.00074	0.16131	0.45885	-0.67	0.45860	-0.69	2.887	0.000	0	27.02
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.43876	0.44364	0.00064	0.14465	0.43951	-4.86	0.43943	-4.84	4.268	0.000	0	27.02
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.76265	0.78375	0.00257	0.33308	0.77084	0.00	0.77057	0.00	1.515	0.999	0	27.66
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.76083	0.77941	0.00324	0.42186	0.76747	-0.44	0.76876	-0.23	-0.252	0.000	0	27.05
Symfony 2.8.0 demo app	50	100	100	PHP - master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.76168	0.77944	0.00144	0.18756	0.76900	-0.24	0.76885	-0.22	2.731	0.000	0	27.05
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.73930	0.98414	0.09439	11.46804	0.82309	6.78	0.79137	2.70	0.716	0.051	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.66002	0.68207	0.00351	0.53075	0.66169	0.00	0.66110	0.00	5.438	0.999	0	27.66
Wordpress 6.9 main page	20	100	20	PHP - previous master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.66252	0.68344	0.00345	0.51958	0.66426	0.39	0.66357	0.37	5.266	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.66266	0.68397	0.00342	0.51508	0.66455	0.43	0.66361	0.38	4.405	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.59379	0.59937	0.00109	0.18276	0.59499	-10.08	0.59463	-10.05	2.740	0.000	0	27.05
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42561	0.43337	0.00140	0.32697	0.42825	0.00	0.42797	0.00	0.560	0.999	0	7.93
bench.php	10	100	2	PHP - previous master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.44085	0.44963	0.00166	0.37403	0.44399	3.67	0.44407	3.76	0.606	0.000	0	7.93
bench.php	10	100	2	PHP - master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.44068	0.44734	0.00166	0.37287	0.44389	3.65	0.44372	3.68	0.189	0.000	0	7.93
bench.php	10	100	2	PHP - master (JIT)	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.13753	0.14442	0.00130	0.91998	0.14105	-67.06	0.14104	-67.04	0.027	0.000	0	7.93

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_20_00_50_33_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-20 00:50:33
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.45107	0.45826	0.00071	0.15830	0.45166	0.00	0.45155	0.00	8.162	0.999	0	27.60
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.44659	0.45284	0.00065	0.14613	0.44720	-0.99	0.44714	-0.98	6.661	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.44578	0.45317	0.00076	0.17088	0.44645	-1.15	0.44630	-1.16	7.123	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.42844	0.42989	0.00028	0.06587	0.42904	-5.01	0.42901	-4.99	0.782	0.000	0	27.00
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.76810	0.77616	0.00084	0.10882	0.77394	0.00	0.77388	0.00	-2.748	0.999	0	27.61
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.76753	0.77563	0.00086	0.11177	0.77293	-0.13	0.77282	-0.14	-1.361	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.76103	0.78367	0.00255	0.33213	0.76899	-0.64	0.76926	-0.60	2.203	0.000	0	27.00
